bounty jäätis; magustoit; 5 h; kookoshelbed, tume šokolaad, vahukoor, kookoskondenspiim; http://www.kokkama.ee/2016/09/bounty-jaatis.html
pasta tüümianiga; soolane; 15 min; pasta, tüümian, küüslauk, oliiviõli, sool, pipar; https://kristiankokkab.blogspot.com.ee/2015/12/pasta-tuumianiga.html
pasta Bolognese; soolane; 3 h; veisehakkliha, suitsupeekon, sibul, küüslauk, punane vein, purustatud tomatid, tomatipasta, oliiviõli, sool, suhkur, must pipar, kuivatatud basiilik, kuivatatud pune; https://lavendlimesi.blogspot.com.ee/2015/09/pasta-bolognese.html
tomati, kurgi ja avokaado salat; soolane; 15 min; tomat, avokaado, lühike kurk, punane sibul, värske koriander, laimimahl, oliiviõli, sool, pipar; http://www.siitnurgastjasealtnurgast.ee/2016/09/tomati-kurgi-ja-avokaado-salat.html
maasika-suitsukanasalat sinihallitusjuustuga; soolane; 10 min ; rohelised salatilehed, magusad maasikad, sinihallitusjuust, suitsukanaliha, must pipar, palsamiäädikas, mahe sinep, vedel mesi; http://www.kokkama.ee/2016/06/maasika-suitsukanasalat.html
arbuusi salat avokaado ja krevettidega; soolane; 30 min; punane sibul, küüslauk, punane tšillikaun, sidrunimahl, valge veini äädikas, suhkur, sool, pipar, arbuus, avokaado; https://liisil.blogspot.com.ee/2016/06/arbuusi-salat-avokaado-ja-krevettidega.html
šokofee; magustoit; 2 h; kondendspiim, banaan, šokolaaditükkidega kohupiimakreem, meliss, šokolaad; https://kristiankokkab.blogspot.com.ee/2016/07/sokofee.html
kaera-banaanibrownie; magustoit; 35 min; kaerahelbed, banaan, muna, vaniljekaunapasta/vaniljesuhkur, kookosrasv, küpsetuspulber, magustamata naturaalne kakaopulber, sool, suhkur; https://jazzinokitchen.blogspot.com.ee/2016/09/banaanibrownie.html
rustikaalne pirni-sinihallitusjuustukook pähklitega; magustoit; 1.5 h; rukkijahu, nisujahu, suhkur, sool, või, muna, väiksed pirnid, muna, sulatatud juust, hapukoor, fariinsuhkur, kaneel, vanillisuhkur, sinihallitusjuust, india pähklid; Rustikaalne pirni-sinihallitusjuustukook pähklitega; magustoit; 1.5 h; rukkijahu, nisujahu, suhkur, sool, või, muna, väiksed pirnid, muna, sulatatud juust, hapukoor, fariinsuhkur, kaneel, vanillisuhkur, sinihallitusjuust, india pähklid; http://www.koogikontor.ee/2016/09/rustikaalne-pirni-sinihallitusjuustukoo.html
šokolaaditükkidega küpsised kikerhernejahust; magustoit; 20 min; kookosrasv, rafineerimata suhkur, küps banaan, vaniljekaunapasta, kikerhernejahu, küpsetuspulber, sool, šokolaad; https://jazzinokitchen.blogspot.com.ee/2016/09/sokolaaditukkidega-kupsised.html
kakaojäätis; magustoit; 4.5 h; metspähklitest jahvatatud jahu, vahukoor, kondenspiim, naturaalne kakaopulber; http://www.kokkama.ee/2016/09/kakaojaatis.html
roheline kartulisalat; soolane; 40 min; keedukartulid, värsked herned, porru, pärlsibul, roheline sibul, pesto (karulauk, rukola, petersell), keedumuna, sool; http://www.roosamanna.ee/2016/08/roheline-kartulisalat/
